Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	1.2246e-015	10.	0.	
2	20.	10.	0.	
3	0.	0.	0.	
4	26.762	0.	0.	
5	26.762	1.	0.	
6	20.	1.	0.	
7	26.468	0.8	0.	
8	26.467	0.6	0.	
9	26.466	0.4	0.	
10	26.466	0.2	0.	
11	26.173	0.8	0.	
12	26.172	0.6	0.	
13	26.17	0.4	0.	
14	26.169	0.2	0.	
15	25.878	0.8	0.	
16	25.876	0.6	0.	
17	25.874	0.4	0.	
18	25.872	0.2	0.	
19	25.584	0.8	0.	
20	25.581	0.6	0.	
21	25.578	0.4	0.	
22	25.576	0.2	0.	
23	25.289	0.8	0.	
24	25.286	0.6	0.	
25	25.282	0.4	0.	
26	25.279	0.2	0.	
27	24.994	0.8	0.	
28	24.99	0.6	0.	
29	24.986	0.4	0.	
30	24.982	0.2	0.	
31	24.7	0.8	0.	
32	24.695	0.6	0.	
33	24.69	0.4	0.	
34	24.686	0.2	0.	
35	24.405	0.8	0.	
36	24.4	0.6	0.	
37	24.394	0.4	0.	
38	24.389	0.2	0.	
39	24.11	0.8	0.	
40	24.104	0.6	0.	
41	24.098	0.4	0.	
42	24.092	0.2	0.	
43	23.816	0.8	0.	
44	23.809	0.6	0.	
45	23.802	0.4	0.	
46	23.795	0.2	0.	
47	23.521	0.8	0.	
48	23.514	0.6	0.	
49	23.506	0.4	0.	
50	23.499	0.2	0.	
51	23.226	0.8	0.	
52	23.218	0.6	0.	
53	23.21	0.4	0.	
54	23.202	0.2	0.	
55	22.931	0.8	0.	
56	22.923	0.6	0.	
57	22.914	0.4	0.	
58	22.905	0.2	0.	
59	22.637	0.8	0.	
60	22.627	0.6	0.	
61	22.618	0.4	0.	
62	22.609	0.2	0.	
63	22.342	0.8	0.	
64	22.332	0.6	0.	
65	22.322	0.4	0.	
66	22.312	0.2	0.	
67	22.047	0.8	0.	
68	22.037	0.6	0.	
69	22.026	0.4	0.	
70	22.015	0.2	0.	
71	21.753	0.8	0.	
72	21.741	0.6	0.	
73	21.73	0.4	0.	
74	21.719	0.2	0.	
75	21.458	0.8	0.	
76	21.446	0.6	0.	
77	21.434	0.4	0.	
78	21.422	0.2	0.	
79	21.163	0.8	0.	
80	21.151	0.6	0.	
81	21.138	0.4	0.	
82	21.125	0.2	0.	
83	20.869	0.8	0.	
84	20.855	0.6	0.	
85	20.842	0.4	0.	
86	20.829	0.2	0.	
87	20.574	0.8	0.	
88	20.56	0.6	0.	
89	20.546	0.4	0.	
90	20.532	0.2	0.	
91	20.279	0.8	0.	
92	20.265	0.6	0.	
93	20.25	0.4	0.	
94	20.235	0.2	0.	
95	0.29759	0.2	0.	
96	0.29782	0.4	0.	
97	0.29805	0.6	0.	
98	0.29828	0.8	0.	
99	0.29851	1.	0.	
100	0.29851	1.2	0.	
101	0.29851	1.4	0.	
102	0.29851	1.6	0.	
103	0.29851	1.8	0.	
104	0.29851	2.	0.	
105	0.29851	2.2	0.	
106	0.29851	2.4	0.	
107	0.29851	2.6	0.	
108	0.29851	2.8	0.	
109	0.29851	3.	0.	
110	0.29851	3.2	0.	
111	0.29851	3.4	0.	
112	0.29851	3.6	0.	
113	0.29851	3.8	0.	
114	0.29851	4.	0.	
115	0.29851	4.2	0.	
116	0.29851	4.4	0.	
117	0.29851	4.6	0.	
118	0.29851	4.8	0.	
119	0.29851	5.	0.	
120	0.29851	5.2	0.	
121	0.29851	5.4	0.	
122	0.29851	5.6	0.	
123	0.29851	5.8	0.	
124	0.29851	6.	0.	
125	0.29851	6.2	0.	
126	0.29851	6.4	0.	
127	0.29851	6.6	0.	
128	0.29851	6.8	0.	
129	0.29851	7.	0.	
130	0.29851	7.2	0.	
131	0.29851	7.4	0.	
132	0.29851	7.6	0.	
133	0.29851	7.8	0.	
134	0.29851	8.	0.	
135	0.29851	8.2	0.	
136	0.29851	8.4	0.	
137	0.29851	8.6	0.	
138	0.29851	8.8	0.	
139	0.29851	9.	0.	
140	0.29851	9.2	0.	
141	0.29851	9.4	0.	
142	0.29851	9.6	0.	
143	0.29851	9.8	0.	
144	0.59518	0.2	0.	
145	0.59564	0.4	0.	
146	0.5961	0.6	0.	
147	0.59656	0.8	0.	
148	0.59701	1.	0.	
149	0.59701	1.2	0.	
150	0.59701	1.4	0.	
151	0.59701	1.6	0.	
152	0.59701	1.8	0.	
153	0.59701	2.	0.	
154	0.59701	2.2	0.	
155	0.59701	2.4	0.	
156	0.59701	2.6	0.	
157	0.59701	2.8	0.	
158	0.59701	3.	0.	
159	0.59701	3.2	0.	
160	0.59701	3.4	0.	
161	0.59701	3.6	0.	
162	0.59701	3.8	0.	
163	0.59701	4.	0.	
164	0.59701	4.2	0.	
165	0.59701	4.4	0.	
166	0.59701	4.6	0.	
167	0.59701	4.8	0.	
168	0.59701	5.	0.	
169	0.59701	5.2	0.	
170	0.59701	5.4	0.	
171	0.59701	5.6	0.	
172	0.59701	5.8	0.	
173	0.59701	6.	0.	
174	0.59701	6.2	0.	
175	0.59701	6.4	0.	
176	0.59701	6.6	0.	
177	0.59701	6.8	0.	
178	0.59701	7.	0.	
179	0.59701	7.2	0.	
180	0.59701	7.4	0.	
181	0.59701	7.6	0.	
182	0.59701	7.8	0.	
183	0.59701	8.	0.	
184	0.59701	8.2	0.	
185	0.59701	8.4	0.	
186	0.59701	8.6	0.	
187	0.59701	8.8	0.	
188	0.59701	9.	0.	
189	0.59701	9.2	0.	
190	0.59701	9.4	0.	
191	0.59701	9.6	0.	
192	0.59701	9.8	0.	
193	0.89277	0.2	0.	
194	0.89346	0.4	0.	
195	0.89415	0.6	0.	
196	0.89483	0.8	0.	
197	0.89552	1.	0.	
198	0.89552	1.2	0.	
199	0.89552	1.4	0.	
200	0.89552	1.6	0.	
201	0.89552	1.8	0.	
202	0.89552	2.	0.	
203	0.89552	2.2	0.	
204	0.89552	2.4	0.	
205	0.89552	2.6	0.	
206	0.89552	2.8	0.	
207	0.89552	3.	0.	
208	0.89552	3.2	0.	
209	0.89552	3.4	0.	
210	0.89552	3.6	0.	
211	0.89552	3.8	0.	
212	0.89552	4.	0.	
213	0.89552	4.2	0.	
214	0.89552	4.4	0.	
215	0.89552	4.6	0.	
216	0.89552	4.8	0.	
217	0.89552	5.	0.	
218	0.89552	5.2	0.	
219	0.89552	5.4	0.	
220	0.89552	5.6	0.	
221	0.89552	5.8	0.	
222	0.89552	6.	0.	
223	0.89552	6.2	0.	
224	0.89552	6.4	0.	
225	0.89552	6.6	0.	
226	0.89552	6.8	0.	
227	0.89552	7.	0.	
228	0.89552	7.2	0.	
229	0.89552	7.4	0.	
230	0.89552	7.6	0.	
231	0.89552	7.8	0.	
232	0.89552	8.	0.	
233	0.89552	8.2	0.	
234	0.89552	8.4	0.	
235	0.89552	8.6	0.	
236	0.89552	8.8	0.	
237	0.89552	9.	0.	
238	0.89552	9.2	0.	
239	0.89552	9.4	0.	
240	0.89552	9.6	0.	
241	0.89552	9.8	0.	
242	1.1904	0.2	0.	
243	1.1913	0.4	0.	
244	1.1922	0.6	0.	
245	1.1931	0.8	0.	
246	1.194	1.	0.	
247	1.194	1.2	0.	
248	1.194	1.4	0.	
249	1.194	1.6	0.	
250	1.194	1.8	0.	
251	1.194	2.	0.	
252	1.194	2.2	0.	
253	1.194	2.4	0.	
254	1.194	2.6	0.	
255	1.194	2.8	0.	
256	1.194	3.	0.	
257	1.194	3.2	0.	
258	1.194	3.4	0.	
259	1.194	3.6	0.	
260	1.194	3.8	0.	
261	1.194	4.	0.	
262	1.194	4.2	0.	
263	1.194	4.4	0.	
264	1.194	4.6	0.	
265	1.194	4.8	0.	
266	1.194	5.	0.	
267	1.194	5.2	0.	
268	1.194	5.4	0.	
269	1.194	5.6	0.	
270	1.194	5.8	0.	
271	1.194	6.	0.	
272	1.194	6.2	0.	
273	1.194	6.4	0.	
274	1.194	6.6	0.	
275	1.194	6.8	0.	
276	1.194	7.	0.	
277	1.194	7.2	0.	
278	1.194	7.4	0.	
279	1.194	7.6	0.	
280	1.194	7.8	0.	
281	1.194	8.	0.	
282	1.194	8.2	0.	
283	1.194	8.4	0.	
284	1.194	8.6	0.	
285	1.194	8.8	0.	
286	1.194	9.	0.	
287	1.194	9.2	0.	
288	1.194	9.4	0.	
289	1.194	9.6	0.	
290	1.194	9.8	0.	
291	1.4879	0.2	0.	
292	1.4891	0.4	0.	
293	1.4902	0.6	0.	
294	1.4914	0.8	0.	
295	1.4925	1.	0.	
296	1.4925	1.2	0.	
297	1.4925	1.4	0.	
298	1.4925	1.6	0.	
299	1.4925	1.8	0.	
300	1.4925	2.	0.	
301	1.4925	2.2	0.	
302	1.4925	2.4	0.	
303	1.4925	2.6	0.	
304	1.4925	2.8	0.	
305	1.4925	3.	0.	
306	1.4925	3.2	0.	
307	1.4925	3.4	0.	
308	1.4925	3.6	0.	
309	1.4925	3.8	0.	
310	1.4925	4.	0.	
311	1.4925	4.2	0.	
312	1.4925	4.4	0.	
313	1.4925	4.6	0.	
314	1.4925	4.8	0.	
315	1.4925	5.	0.	
316	1.4925	5.2	0.	
317	1.4925	5.4	0.	
318	1.4925	5.6	0.	
319	1.4925	5.8	0.	
320	1.4925	6.	0.	
321	1.4925	6.2	0.	
322	1.4925	6.4	0.	
323	1.4925	6.6	0.	
324	1.4925	6.8	0.	
325	1.4925	7.	0.	
326	1.4925	7.2	0.	
327	1.4925	7.4	0.	
328	1.4925	7.6	0.	
329	1.4925	7.8	0.	
330	1.4925	8.	0.	
331	1.4925	8.2	0.	
332	1.4925	8.4	0.	
333	1.4925	8.6	0.	
334	1.4925	8.8	0.	
335	1.4925	9.	0.	
336	1.4925	9.2	0.	
337	1.4925	9.4	0.	
338	1.4925	9.6	0.	
339	1.4925	9.8	0.	
340	1.7855	0.2	0.	
341	1.7869	0.4	0.	
342	1.7883	0.6	0.	
343	1.7897	0.8	0.	
344	1.791	1.	0.	
345	1.791	1.2	0.	
346	1.791	1.4	0.	
347	1.791	1.6	0.	
348	1.791	1.8	0.	
349	1.791	2.	0.	
350	1.791	2.2	0.	
351	1.791	2.4	0.	
352	1.791	2.6	0.	
353	1.791	2.8	0.	
354	1.791	3.	0.	
355	1.791	3.2	0.	
356	1.791	3.4	0.	
357	1.791	3.6	0.	
358	1.791	3.8	0.	
359	1.791	4.	0.	
360	1.791	4.2	0.	
361	1.791	4.4	0.	
362	1.791	4.6	0.	
363	1.791	4.8	0.	
364	1.791	5.	0.	
365	1.791	5.2	0.	
366	1.791	5.4	0.	
367	1.791	5.6	0.	
368	1.791	5.8	0.	
369	1.791	6.	0.	
370	1.791	6.2	0.	
371	1.791	6.4	0.	
372	1.791	6.6	0.	
373	1.791	6.8	0.	
374	1.791	7.	0.	
375	1.791	7.2	0.	
376	1.791	7.4	0.	
377	1.791	7.6	0.	
378	1.791	7.8	0.	
379	1.791	8.	0.	
380	1.791	8.2	0.	
381	1.791	8.4	0.	
382	1.791	8.6	0.	
383	1.791	8.8	0.	
384	1.791	9.	0.	
385	1.791	9.2	0.	
386	1.791	9.4	0.	
387	1.791	9.6	0.	
388	1.791	9.8	0.	
389	2.0831	0.2	0.	
390	2.0847	0.4	0.	
391	2.0863	0.6	0.	
392	2.0879	0.8	0.	
393	2.0896	1.	0.	
394	2.0896	1.2	0.	
395	2.0896	1.4	0.	
396	2.0896	1.6	0.	
397	2.0896	1.8	0.	
398	2.0896	2.	0.	
399	2.0896	2.2	0.	
400	2.0896	2.4	0.	
401	2.0896	2.6	0.	
402	2.0896	2.8	0.	
403	2.0896	3.	0.	
404	2.0896	3.2	0.	
405	2.0896	3.4	0.	
406	2.0896	3.6	0.	
407	2.0896	3.8	0.	
408	2.0896	4.	0.	
409	2.0896	4.2	0.	
410	2.0896	4.4	0.	
411	2.0896	4.6	0.	
412	2.0896	4.8	0.	
413	2.0896	5.	0.	
414	2.0896	5.2	0.	
415	2.0896	5.4	0.	
416	2.0896	5.6	0.	
417	2.0896	5.8	0.	
418	2.0896	6.	0.	
419	2.0896	6.2	0.	
420	2.0896	6.4	0.	
421	2.0896	6.6	0.	
422	2.0896	6.8	0.	
423	2.0896	7.	0.	
424	2.0896	7.2	0.	
425	2.0896	7.4	0.	
426	2.0896	7.6	0.	
427	2.0896	7.8	0.	
428	2.0896	8.	0.	
429	2.0896	8.2	0.	
430	2.0896	8.4	0.	
431	2.0896	8.6	0.	
432	2.0896	8.8	0.	
433	2.0896	9.	0.	
434	2.0896	9.2	0.	
435	2.0896	9.4	0.	
436	2.0896	9.6	0.	
437	2.0896	9.8	0.	
438	2.3807	0.2	0.	
439	2.3826	0.4	0.	
440	2.3844	0.6	0.	
441	2.3862	0.8	0.	
442	2.3881	1.	0.	
443	2.3881	1.2	0.	
444	2.3881	1.4	0.	
445	2.3881	1.6	0.	
446	2.3881	1.8	0.	
447	2.3881	2.	0.	
448	2.3881	2.2	0.	
449	2.3881	2.4	0.	
450	2.3881	2.6	0.	
451	2.3881	2.8	0.	
452	2.3881	3.	0.	
453	2.3881	3.2	0.	
454	2.3881	3.4	0.	
455	2.3881	3.6	0.	
456	2.3881	3.8	0.	
457	2.3881	4.	0.	
458	2.3881	4.2	0.	
459	2.3881	4.4	0.	
460	2.3881	4.6	0.	
461	2.3881	4.8	0.	
462	2.3881	5.	0.	
463	2.3881	5.2	0.	
464	2.3881	5.4	0.	
465	2.3881	5.6	0.	
466	2.3881	5.8	0.	
467	2.3881	6.	0.	
468	2.3881	6.2	0.	
469	2.3881	6.4	0.	
470	2.3881	6.6	0.	
471	2.3881	6.8	0.	
472	2.3881	7.	0.	
473	2.3881	7.2	0.	
474	2.3881	7.4	0.	
475	2.3881	7.6	0.	
476	2.3881	7.8	0.	
477	2.3881	8.	0.	
478	2.3881	8.2	0.	
479	2.3881	8.4	0.	
480	2.3881	8.6	0.	
481	2.3881	8.8	0.	
482	2.3881	9.	0.	
483	2.3881	9.2	0.	
484	2.3881	9.4	0.	
485	2.3881	9.6	0.	
486	2.3881	9.8	0.	
487	2.6783	0.2	0.	
488	2.6804	0.4	0.	
489	2.6824	0.6	0.	
490	2.6845	0.8	0.	
491	2.6866	1.	0.	
